Wurtzite ZnO (type1=Zn q=+2, type2=O q=-2)

2880 atoms
2 atom types

0.0 12.998000 xlo xhi
0.0 16.884897 ylo yhi
0.0 156.207000 zlo zhi

Masses

1 65.38
2 15.9994

Atoms # charge

423 2 -2.0000 1.624750 6.566349 119.144286
424 2 -2.0000 0.000000 9.380498 119.144286
425 1 2.0000 0.000000 5.628299 119.758700
426 1 2.0000 1.624750 8.442449 119.758700
427 1 2.0000 1.624750 6.566349 122.362150
428 1 2.0000 0.000000 9.380498 122.362150
429 2 -2.0000 0.000000 5.628299 121.747736
430 2 -2.0000 1.624750 8.442449 121.747736
431 2 -2.0000 1.624750 6.566349 124.351186
432 2 -2.0000 0.000000 9.380498 124.351186
433 1 2.0000 0.000000 5.628299 124.965600
434 1 2.0000 1.624750 8.442449 124.965600
435 1 2.0000 1.624750 6.566349 127.569050
436 1 2.0000 0.000000 9.380498 127.569050
437 2 -2.0000 0.000000 5.628299 126.954636
438 2 -2.0000 1.624750 8.442449 126.954636
439 2 -2.0000 1.624750 6.566349 129.558086
440 2 -2.0000 0.000000 9.380498 129.558086
441 1 2.0000 0.000000 5.628299 130.172500
442 1 2.0000 1.624750 8.442449 130.172500
443 1 2.0000 1.624750 6.566349 132.775950
444 1 2.0000 0.000000 9.380498 132.775950
445 2 -2.0000 0.000000 5.628299 132.161536
446 2 -2.0000 1.624750 8.442449 132.161536
447 2 -2.0000 1.624750 6.566349 134.764986
448 2 -2.0000 0.000000 9.380498 134.764986
449 1 2.0000 0.000000 5.628299 135.379400
450 1 2.0000 1.624750 8.442449 135.379400
451 1 2.0000 1.624750 6.566349 137.982850
452 1 2.0000 0.000000 9.380498 137.982850
453 2 -2.0000 0.000000 5.628299 137.368436
454 2 -2.0000 1.624750 8.442449 137.368436
455 2 -2.0000 1.624750 6.566349 139.971886
456 2 -2.0000 0.000000 9.380498 139.971886
457 1 2.0000 0.000000 5.628299 140.586300
458 1 2.0000 1.624750 8.442449 140.586300
459 1 2.0000 1.624750 6.566349 143.189750
460 1 2.0000 0.000000 9.380498 143.189750
461 2 -2.0000 0.000000 5.628299 142.575336
462 2 -2.0000 1.624750 8.442449 142.575336
463 2 -2.0000 1.624750 6.566349 145.178786
464 2 -2.0000 0.000000 9.380498 145.178786
465 1 2.0000 0.000000 5.628299 145.793200
466 1 2.0000 1.624750 8.442449 145.793200
467 1 2.0000 1.624750 6.566349 148.396650
468 1 2.0000 0.000000 9.380498 148.396650
469 2 -2.0000 0.000000 5.628299 147.782236
470 2 -2.0000 1.624750 8.442449 147.782236
471 2 -2.0000 1.624750 6.566349 150.385686
472 2 -2.0000 0.000000 9.380498 150.385686
473 1 2.0000 0.000000 5.628299 151.000100
474 1 2.0000 1.624750 8.442449 151.000100
475 1 2.0000 1.624750 6.566349 153.603550
476 1 2.0000 0.000000 9.380498 153.603550
477 2 -2.0000 0.000000 5.628299 152.989136
478 2 -2.0000 1.624750 8.442449 152.989136
479 2 -2.0000 1.624750 6.566349 155.592586
480 2 -2.0000 0.000000 9.380498 155.592586
481 1 2.0000 0.000000 11.256598 0.000000
482 1 2.0000 1.624750 14.070748 0.000000
483 1 2.0000 1.624750 12.194648 2.603450
484 1 2.0000 0.000000 15.008798 2.603450
485 2 -2.0000 0.000000 11.256598 1.989036
486 2 -2.0000 1.624750 14.070748 1.989036
487 2 -2.0000 1.624750 12.194648 4.592486
488 2 -2.0000 0.000000 15.008798 4.592486
489 1 2.0000 0.000000 11.256598 5.206900
490 1 2.0000 1.624750 14.070748 5.206900
491 1 2.0000 1.624750 12.194648 7.810350
492 1 2.0000 0.000000 15.008798 7.810350
493 2 -2.0000 0.000000 11.256598 7.195936
494 2 -2.0000 1.624750 14.070748 7.195936
495 2 -2.0000 1.624750 12.194648 9.799386
496 2 -2.0000 0.000000 15.008798 9.799386
497 1 2.0000 0.000000 11.256598 10.413800
498 1 2.0000 1.624750 14.070748 10.413800
499 1 2.0000 1.624750 12.194648 13.017250
500 1 2.0000 0.000000 15.008798 13.017250
501 2 -2.0000 0.000000 11.256598 12.402836
502 2 -2.0000 1.624750 14.070748 12.402836
503 2 -2.0000 1.624750 12.194648 15.006286
504 2 -2.0000 0.000000 15.008798 15.006286
505 1 2.0000 0.000000 11.256598 15.620700
506 1 2.0000 1.624750 14.070748 15.620700
507 1 2.0000 1.624750 12.194648 18.224150
508 1 2.0000 0.000000 15.008798 18.224150
